127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:49:13, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.321000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/mode/clike/clike.js, HTTP/1.1, 200, 0.035000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.052000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.056000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.069000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.076000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/lib/util/search.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/lib/util/searchcursor.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.050000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/lib/util/dialog.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/lib/util/dialog.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.182000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.079000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.089000
127.0.0.1, 2013-02-23 12:51:14, GET, /admin/static/codemirror/emmet.min.js, HTTP/1.1, 200, 0.191000
127.0.0.1, 2013-02-23 12:51:49, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.168000
127.0.0.1, 2013-02-23 12:51:54, GET, /admin/default/site, HTTP/1.1, 200, 0.090000
127.0.0.1, 2013-02-23 12:51:54, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.593000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp, HTTP/1.1, 200, 0.036000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:52:02, GET, /myapp/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-02-23 12:52:20, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.056000
127.0.0.1, 2013-02-23 12:52:36, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.045000
127.0.0.1, 2013-02-23 12:52:40, GET, /myapp, HTTP/1.1, 200, 0.021000
127.0.0.1, 2013-02-23 12:52:40, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-02-23 12:53:03, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.042000
127.0.0.1, 2013-02-23 12:53:35, POST, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.054000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp, HTTP/1.1, 200, 0.043000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 12:53:39, GET, /myapp/static/js/jquery.js, HTTP/1.1, 304, 0.001000
